getTraceMatrix,directoryc:\p4root\RELab\branches\aczauderna\Data\ANC-Data\EasyClinicDataset\traceability matrices\UC_CC.txt
getTraceMatrix,adding to trace matrix1 122
getTraceMatrix,adding to trace matrix1 123
getTraceMatrix,adding to trace matrix1 147
getTraceMatrix,adding to trace matrix1 158
getTraceMatrix,adding to trace matrix2 122
getTraceMatrix,adding to trace matrix2 123
getTraceMatrix,adding to trace matrix2 147
getTraceMatrix,adding to trace matrix2 158
getTraceMatrix,adding to trace matrix3 122
getTraceMatrix,adding to trace matrix3 123
getTraceMatrix,adding to trace matrix3 147
getTraceMatrix,adding to trace matrix3 158
getTraceMatrix,adding to trace matrix4 122
getTraceMatrix,adding to trace matrix4 124
getTraceMatrix,adding to trace matrix4 146
getTraceMatrix,adding to trace matrix4 153
getTraceMatrix,adding to trace matrix5 122
getTraceMatrix,adding to trace matrix5 124
getTraceMatrix,adding to trace matrix5 146
getTraceMatrix,adding to trace matrix5 153
getTraceMatrix,adding to trace matrix6 122
getTraceMatrix,adding to trace matrix6 124
getTraceMatrix,adding to trace matrix6 146
getTraceMatrix,adding to trace matrix6 153
getTraceMatrix,adding to trace matrix7 120
getTraceMatrix,adding to trace matrix7 142
getTraceMatrix,adding to trace matrix7 152
getTraceMatrix,adding to trace matrix8 140
getTraceMatrix,adding to trace matrix8 150
getTraceMatrix,adding to trace matrix8 155
getTraceMatrix,adding to trace matrix9 140
getTraceMatrix,adding to trace matrix9 150
getTraceMatrix,adding to trace matrix9 155
getTraceMatrix,adding to trace matrix10 140
getTraceMatrix,adding to trace matrix10 150
getTraceMatrix,adding to trace matrix10 155
getTraceMatrix,adding to trace matrix11 141
getTraceMatrix,adding to trace matrix11 150
getTraceMatrix,adding to trace matrix11 156
getTraceMatrix,adding to trace matrix12 141
getTraceMatrix,adding to trace matrix12 150
getTraceMatrix,adding to trace matrix12 156
getTraceMatrix,adding to trace matrix13 141
getTraceMatrix,adding to trace matrix13 150
getTraceMatrix,adding to trace matrix13 156
getTraceMatrix,adding to trace matrix14 134
getTraceMatrix,adding to trace matrix14 148
getTraceMatrix,adding to trace matrix14 159
getTraceMatrix,adding to trace matrix15 134
getTraceMatrix,adding to trace matrix15 148
getTraceMatrix,adding to trace matrix15 159
getTraceMatrix,adding to trace matrix16 138
getTraceMatrix,adding to trace matrix16 148
getTraceMatrix,adding to trace matrix16 159
getTraceMatrix,adding to trace matrix17 136
getTraceMatrix,adding to trace matrix17 145
getTraceMatrix,adding to trace matrix17 154
getTraceMatrix,adding to trace matrix18 136
getTraceMatrix,adding to trace matrix18 137
getTraceMatrix,adding to trace matrix18 144
getTraceMatrix,adding to trace matrix18 145
getTraceMatrix,adding to trace matrix18 154
getTraceMatrix,adding to trace matrix20 132
getTraceMatrix,adding to trace matrix20 145
getTraceMatrix,adding to trace matrix20 154
getTraceMatrix,adding to trace matrix21 118
getTraceMatrix,adding to trace matrix21 149
getTraceMatrix,adding to trace matrix21 155
getTraceMatrix,adding to trace matrix21 156
getTraceMatrix,adding to trace matrix22 117
getTraceMatrix,adding to trace matrix22 148
getTraceMatrix,adding to trace matrix22 159
getTraceMatrix,adding to trace matrix23 116
getTraceMatrix,adding to trace matrix23 145
getTraceMatrix,adding to trace matrix23 154
getTraceMatrix,adding to trace matrix25 114
getTraceMatrix,adding to trace matrix25 145
getTraceMatrix,adding to trace matrix25 154
getTraceMatrix,adding to trace matrix26 128
getTraceMatrix,adding to trace matrix26 148
getTraceMatrix,adding to trace matrix26 159
getTraceMatrix,adding to trace matrix27 126
getTraceMatrix,adding to trace matrix27 150
getTraceMatrix,adding to trace matrix27 155
getTraceMatrix,adding to trace matrix28 127
getTraceMatrix,adding to trace matrix28 150
getTraceMatrix,adding to trace matrix28 156
getTraceMatrix,adding to trace matrix29 130
getTraceMatrix,adding to trace matrix29 148
getTraceMatrix,adding to trace matrix29 159
getTraceMatrix,adding to trace matrix30 129
getTraceMatrix,adding to trace matrix30 148
getTraceMatrix,adding to trace matrix30 159
getTraceMatrix,Matrix count 28
getTraceMatrix,local counter 93
