Source Artifact Id,Target Artifact Id,Probability,Is correct
AC,CCHIT0588,0.0741758022131291,0
AC,CCHIT0785,0.0736502851670613,0
AC,CCHIT0766,0.061545660878305,0
AC,CCHIT0036,0.0562946051963608,0
AC,CCHIT0195,0.0554831904634481,0
AC,CCHIT0638,0.052464789402601,0
AC,CCHIT0620,0.0499412393570341,0
AC,CCHIT0783,0.0499280029885732,0
AC,CCHIT0269,0.0496756011464826,0
AC,CCHIT0172,0.0446701789622852,0
AC,CCHIT0957,0.0419674533344223,0
AC,CCHIT0702,0.0411058164936725,0
AC,CCHIT0666,0.039705390676698,0
AC,CCHIT0999,0.0380102492817277,0
AC,CCHIT0701,0.0378071069632739,0
AC,CCHIT0617,0.0375250699041977,0
AC,CCHIT0048,0.0374779046438465,0
AC,CCHIT0487,0.0369988190508682,0
AC,CCHIT0443,0.0364486085209939,0
AC,CCHIT0441,0.0354452287996593,0
AC,CCHIT0190,0.0352202614137967,0
AC,CCHIT0622,0.0349197080186747,0
AC,CCHIT0212,0.0346414835136491,1
AC,CCHIT0784,0.0343464014635738,0
AC,CCHIT0705,0.0340778389456957,0
AC,CCHIT0216,0.0337926926288379,0
AC,CCHIT0686,0.0328439195492186,1
AC,CCHIT0213,0.0325734295676712,0
AC,CCHIT0682,0.0322958895779059,1
AC,CCHIT0287,0.03182618797006,0
AC,CCHIT0166,0.0317486548366245,0
AC,CCHIT0768,0.0311953642528811,1
AC,CCHIT0014,0.0311825281657839,0
AC,CCHIT0218,0.0310799805015172,0
AC,CCHIT0820,0.0304190781971763,0
AC,CCHIT0821,0.0304190781971763,0
AC,CCHIT1038,0.0300935474652444,0
AC,CCHIT0030,0.0300107760073795,0
AC,CCHIT0792,0.0287718088915594,0
AC,CCHIT0189,0.0287257915611961,0
AC,CCHIT0697,0.0282688833720149,0
AC,CCHIT0632,0.027747896938328,1
AC,CCHIT0937,0.0274425904311839,0
AC,CCHIT0368,0.0272357577173755,1
AC,CCHIT0956,0.0271407796863559,0
AC,CCHIT0325,0.0267858834641669,0
AC,CCHIT0734,0.0262879934474395,0
AC,CCHIT0178,0.0260041969564161,0
AC,CCHIT0098,0.0257894630427239,0
AC,CCHIT0895,0.0257507330435364,0
AC,CCHIT0896,0.0256902985160558,0
AC,CCHIT0943,0.0256042706290998,0
AC,CCHIT0782,0.0253783832724353,0
AC,CCHIT0192,0.0248896070018059,0
AC,CCHIT0577,0.024812579041962,0
AC,CCHIT0200,0.0246603807494432,0
AC,CCHIT0357,0.0244160870998738,1
AC,CCHIT0224,0.0241586037529753,0
AC,CCHIT0997,0.0236082036655563,0
AC,CCHIT1025,0.0235469868205592,0
AC,CCHIT0168,0.0235046450881459,0
AC,CCHIT0021,0.023387070454924,0
AC,CCHIT0392,0.0233664149514377,0
AC,CCHIT0446,0.0228027564050253,0
AC,CCHIT0722,0.0224507209844907,1
AC,CCHIT0586,0.0217636367135909,0
AC,CCHIT0637,0.0215758518366185,0
AC,CCHIT0630,0.0213646157147558,1
AC,CCHIT0795,0.0212460686260796,0
AC,CCHIT0160,0.0210553190176026,0
AC,CCHIT0321,0.0210416178695064,0
AC,CCHIT0411,0.0208212184650566,0
AC,CCHIT0524,0.0203975717304318,0
AC,CCHIT0688,0.0202224147891755,0
AC,CCHIT0484,0.0201618412962106,0
AC,CCHIT0629,0.0198922774037581,0
AC,CCHIT0709,0.0198817882446095,0
AC,CCHIT0359,0.019842201080438,0
AC,CCHIT0167,0.0197982086994039,0
AC,CCHIT0431,0.0197045866028089,0
AC,CCHIT0023,0.0195897966871794,0
AC,CCHIT0274,0.0194884810749279,0
AC,CCHIT0159,0.0193786020035341,0
AC,CCHIT0961,0.0190410181129523,0
AC,CCHIT0442,0.0189950364995599,0
AC,CCHIT0254,0.0189793034345927,0
AC,CCHIT0659,0.0188674856998977,0
AC,CCHIT1020,0.0185475288718623,0
AC,CCHIT0787,0.0184972419018647,0
AC,CCHIT0631,0.0183983212668912,1
AC,CCHIT0759,0.0183879393373204,0
AC,CCHIT0280,0.0183405735829091,0
AC,CCHIT0683,0.0181012027773455,0
AC,CCHIT0618,0.0177901992954284,0
AC,CCHIT0277,0.017537480182966,0
AC,CCHIT0563,0.0173963922593926,0
AC,CCHIT0367,0.0173922367759258,0
AC,CCHIT0119,0.0171641232807049,0
AC,CCHIT0893,0.017152538322513,0
AC,CCHIT0687,0.0170455512195341,0
AC,CCHIT0819,0.0170136266289046,0
AC,CCHIT0198,0.0168505749224986,0
AC,CCHIT0032,0.0167627316796675,0
AC,CCHIT0003,0.0167250363976444,0
AC,CCHIT0138,0.0163698211909019,0
AC,CCHIT0231,0.0163614080223787,0
AC,CCHIT0933,0.0163583795530496,0
AC,CCHIT0066,0.0163521644017533,0
AC,CCHIT0998,0.0163451064023405,0
AC,CCHIT0667,0.0161731882779808,0
AC,CCHIT0140,0.0160519605084878,0
AC,CCHIT0590,0.0158978835942544,0
AC,CCHIT0283,0.0158960947928567,0
AC,CCHIT0779,0.0157592211145139,0
AC,CCHIT0067,0.0156652239197565,0
AC,CCHIT0019,0.0156395804468939,0
AC,CCHIT0308,0.015449171621013,0
AC,CCHIT0621,0.0152976342541968,0
AC,CCHIT0776,0.0150939176089563,0
AC,CCHIT0511,0.0149892949089617,0
AC,CCHIT0684,0.014826671280865,0
AC,CCHIT0512,0.0148015015206825,0
AC,CCHIT0197,0.0147684929894857,0
AC,CCHIT0874,0.0147279776225147,0
AC,CCHIT0562,0.0147273773101091,0
AC,CCHIT0031,0.0147268664952431,0
AC,CCHIT0330,0.0146042757192547,0
AC,CCHIT0704,0.0145817782406302,0
AC,CCHIT0012,0.0145590717906095,0
AC,CCHIT0960,0.0144445942346525,0
AC,CCHIT0554,0.0144173091366684,0
AC,CCHIT0528,0.0143895517161255,0
AC,CCHIT0363,0.0142870061960668,1
AC,CCHIT0720,0.0142464450593651,0
AC,CCHIT0523,0.0141009558483334,0
AC,CCHIT0394,0.0140798977703402,1
AC,CCHIT0018,0.0140798469368891,0
AC,CCHIT0794,0.0139311370003037,0
AC,CCHIT0319,0.0138083347982448,0
AC,CCHIT0614,0.0137006536795831,0
AC,CCHIT0823,0.0135810607151492,0
AC,CCHIT0356,0.0134389928019901,1
AC,CCHIT0984,0.0132884713074336,0
AC,CCHIT1045,0.0131957759373776,0
AC,CCHIT0664,0.0131602190791562,0
AC,CCHIT1011,0.0129832186844357,0
AC,CCHIT0780,0.0129384107843964,0
AC,CCHIT0062,0.0128221288673866,0
AC,CCHIT0679,0.0127891776612808,1
AC,CCHIT0302,0.0127605097712467,0
AC,CCHIT0540,0.0127480373079346,1
AC,CCHIT0623,0.0126370889048364,0
